Order_ID,Date,Customer_ID,Product_Category,Unnamed:_4,Product_Name,Quantity,Unit_Price_INR,Total_Sales_INR,Payment_Method,Delivery_Status,Review_Rating,Review_Text,State,Country
ORD100055,17-12-2025,CUST2983,Electronics,,Tablet,2,5274.69,10549.38,UPI,Pending,3,Not bad,Assam,India
ORD100056,07-01-2025,CUST7882,Beauty,,Lipstick,1,25396.85,25396.85,Cash on Delivery,Delivered,3,Fair deal,Nagaland,India
ORD100057,30-11-2025,CUST5425,Home & Kitchen,,Air Fryer,2,21887.26,43774.52,Cash on Delivery,Pending,5,Worth every rupee!,Jharkhand,India
ORD100058,23-05-2025,CUST8385,Books,,Biography,3,42615.32,127845.96,Credit Card,Pending,1,Never buying again,Uttarakhand,India
ORD100059,04-04-2025,CUST8988,Books,,Children's Book,3,1629.26,4887.78,Credit Card,Pending,3,Could be better,Rajasthan,India
ORD100060,12-10-2025,CUST1166,Home & Kitchen,,Vacuum Cleaner,5,35118.95,175594.75,Credit Card,Delivered,3,Okay product,Punjab,India
ORD100061,27-11-2025,CUST9041,Beauty,,Shampoo,5,37956.6,189783.0,Cash on Delivery,Delivered,4,Good quality,West Bengal,India
ORD100062,06-12-2025,CUST7046,Home & Kitchen,,Cookware Set,4,34651.0,138604.0,Cash on Delivery,Returned,3,Not bad,Kerala,India
ORD100063,19-05-2025,CUST6023,Home & Kitchen,,Air Fryer,5,16673.41,83367.05,Debit Card,Delivered,4,Good quality,Odisha,India
ORD100064,09-04-2025,CUST4545,Clothing,,Sneakers,1,37195.48,37195.48,Cash on Delivery,Pending,2,Poor packaging,Gujarat,India
ORD100065,01-06-2025,CUST4727,Books,,Comics,3,49029.43,147088.29,Debit Card,Delivered,2,Disappointed,Tamil Nadu,India
ORD100066,11-10-2025,CUST5786,Electronics,,Tablet,2,13860.7,27721.4,Credit Card,Returned,1,Terrible experience,Assam,India
ORD100067,14-08-2025,CUST6582,Electronics,,Smartphone,5,14360.1,71800.5,Credit Card,Delivered,4,Value for money,Arunachal Pradesh,India
ORD100068,23-10-2025,CUST1878,Beauty,,Face Cream,1,20155.23,20155.23,Credit Card,Delivered,1,Never buying again,Sikkim,India
ORD100069,07-11-2025,CUST4697,Home & Kitchen,,Mixer Grinder,2,6098.89,12197.78,Cash on Delivery,Pending,4,Pretty decent,Haryana,India
ORD100070,31-01-2025,CUST2625,Home & Kitchen,,Water Purifier,4,15407.94,61631.76,Credit Card,Returned,5,Loved it!,Tripura,India
ORD100071,08-02-2025,CUST3564,Home & Kitchen,,Mixer Grinder,2,12145.29,24290.58,UPI,Pending,5,Worth every rupee!,Jharkhand,India
ORD100072,28-12-2025,CUST5632,Books,,Children's Book,3,1825.46,5476.38,Cash on Delivery,Delivered,3,Okay product,Assam,India
ORD100073,26-04-2025,CUST3441,Home & Kitchen,,Water Purifier,2,21371.92,42743.84,Debit Card,Delivered,5,Excellent product!,West Bengal,India
ORD100074,28-05-2025,CUST8195,Electronics,,Laptop,3,29833.19,89499.57,UPI,Pending,5,Highly recommend!,Haryana,India
ORD100075,11-02-2025,CUST1653,Beauty,,Lipstick,5,27091.08,135455.4,Cash on Delivery,Returned,4,Value for money,West Bengal,India
ORD100076,28-10-2025,CUST1339,Books,,Biography,1,4748.08,4748.08,Debit Card,Returned,5,Excellent product!,Bihar,India
ORD100077,03-04-2025,CUST8141,Clothing,,Jacket,5,32645.17,163225.85,Cash on Delivery,Delivered,3,Fair deal,Madhya Pradesh,India
ORD100078,24-03-2025,CUST6403,Home & Kitchen,,Air Fryer,3,16188.7,48566.1,Cash on Delivery,Returned,1,Terrible experience,Himachal Pradesh,India
ORD100079,11-06-2025,CUST5135,Home & Kitchen,,Air Fryer,5,2027.52,10137.6,Debit Card,Delivered,1,Terrible experience,Manipur,India
ORD100080,07-04-2025,CUST9494,Books,,Fiction Novel,5,23206.42,116032.1,Debit Card,Returned,1,Terrible experience,Rajasthan,India
ORD100081,28-05-2025,CUST8178,Beauty,,Face Cream,2,13499.4,26998.8,Cash on Delivery,Delivered,2,Not satisfied,Uttarakhand,India
ORD100082,10-10-2025,CUST7684,Books,,Science Textbook,2,15675.36,31350.72,UPI,Delivered,1,Very bad product,Kerala,India
ORD100083,18-09-2025,CUST5479,Beauty,,Face Cream,2,25019.1,50038.2,Cash on Delivery,Pending,3,Fair deal,Goa,India
ORD100084,03-11-2025,CUST9327,Clothing,,Jacket,5,7403.17,37015.85,Credit Card,Delivered,2,Disappointed,Kerala,India
ORD100085,25-05-2025,CUST5891,Beauty,,Lipstick,5,13505.2,67526.0,Cash on Delivery,Delivered,1,Terrible experience,Kerala,India
ORD100086,13-07-2025,CUST8460,Books,,Children's Book,3,16755.51,50266.53,Debit Card,Delivered,5,Loved it!,Gujarat,India
ORD100087,23-01-2025,CUST6213,Books,,Children's Book,2,42829.45,85658.9,Cash on Delivery,Returned,4,Pretty decent,Sikkim,India
ORD100088,15-09-2025,CUST6439,Beauty,,Perfume,4,48248.26,192993.04,UPI,Pending,2,Not satisfied,Himachal Pradesh,India
ORD100089,02-12-2025,CUST3529,Books,,Children's Book,1,36177.7,36177.7,UPI,Pending,4,Value for money,Tamil Nadu,India
ORD100090,12-12-2025,CUST9742,Home & Kitchen,,Water Purifier,4,32561.87,130247.48,Cash on Delivery,Pending,3,Fair deal,Sikkim,India
ORD100091,27-04-2025,CUST2480,Books,,Fiction Novel,5,3607.35,18036.75,Cash on Delivery,Delivered,3,Average,Rajasthan,India
ORD100092,16-06-2025,CUST1919,Beauty,,Perfume,3,45190.52,135571.56,Debit Card,Pending,1,Defective item,Assam,India
ORD100093,16-12-2025,CUST3950,Beauty,,Perfume,2,26652.08,53304.16,Credit Card,Delivered,5,Excellent product!,Punjab,India
ORD100094,26-10-2025,CUST3344,Books,,Children's Book,5,34220.1,171100.5,Credit Card,Pending,4,Value for money,Rajasthan,India
ORD100095,28-05-2025,CUST9955,Beauty,,Lipstick,1,44965.64,44965.64,Credit Card,Delivered,4,Pretty decent,Goa,India
ORD100096,20-12-2025,CUST5097,Home & Kitchen,,Water Purifier,3,32019.15,96057.45,Cash on Delivery,Pending,4,Satisfied with the product,Nagaland,India
ORD100097,03-07-2025,CUST5847,Beauty,,Shampoo,1,12012.84,12012.84,Debit Card,Delivered,5,Worth every rupee!,Telangana,India
ORD100098,07-11-2025,CUST9138,Home & Kitchen,,Mixer Grinder,5,43280.36,216401.8,Debit Card,Delivered,1,Never buying again,Haryana,India
ORD100099,18-11-2025,CUST2591,Home & Kitchen,,Cookware Set,2,31120.38,62240.76,UPI,Pending,2,Product not as expected,Goa,India
ORD100100,01-06-2025,CUST6352,Electronics,,Tablet,3,36671.52,110014.56,Cash on Delivery,Delivered,1,Waste of money,Manipur,India
ORD100101,26-03-2025,CUST5210,Clothing,,Saree,3,26636.45,79909.35,Cash on Delivery,Pending,3,Could be better,Madhya Pradesh,India
ORD100102,13-12-2025,CUST7511,Electronics,,Smartwatch,1,7209.7,7209.7,Debit Card,Delivered,2,Product not as expected,Himachal Pradesh,India
ORD100103,11-12-2025,CUST5295,Electronics,,Headphones,5,6354.72,31773.6,Cash on Delivery,Returned,3,Could be better,Rajasthan,India
ORD100104,17-06-2025,CUST4626,Electronics,,Laptop,4,1446.23,5784.92,UPI,Returned,5,Worth every rupee!,Tamil Nadu,India
ORD100105,05-06-2025,CUST9071,Home & Kitchen,,Air Fryer,1,7160.9,7160.9,UPI,Delivered,1,Waste of money,Nagaland,India
ORD100106,03-08-2025,CUST3531,Books,,Science Textbook,4,22791.46,91165.84,Cash on Delivery,Returned,5,Excellent product!,Haryana,India
ORD100107,17-01-2025,CUST7070,Beauty,,Hair Dryer,4,46964.84,187859.36,Credit Card,Pending,3,Fair deal,Sikkim,India
ORD100108,06-10-2025,CUST6876,Clothing,,Sneakers,1,49050.2,49050.2,UPI,Pending,3,Could be better,Karnataka,India
ORD100109,25-11-2025,CUST1349,Clothing,,T-Shirt,4,4765.34,19061.36,UPI,Pending,2,Quality could improve,Uttarakhand,India
ORD100110,17-04-2025,CUST4538,Clothing,,Saree,2,3616.79,7233.58,Credit Card,Pending,5,Loved it!,Tripura,India
ORD100111,08-03-2025,CUST9850,Books,,Fiction Novel,3,42948.63,128845.89,Debit Card,Delivered,2,Not satisfied,Tripura,India
ORD100112,29-10-2025,CUST6304,Electronics,,Laptop,1,18040.47,18040.47,UPI,Delivered,2,Disappointed,Arunachal Pradesh,India
ORD100113,01-09-2025,CUST8344,Electronics,,Laptop,4,26399.06,105596.24,Debit Card,Returned,1,Never buying again,Haryana,India
ORD100114,23-01-2025,CUST9543,Electronics,,Smartwatch,5,11233.18,56165.9,Debit Card,Pending,5,Excellent product!,Uttarakhand,India
ORD100115,09-09-2025,CUST8267,Electronics,,Smartwatch,4,21428.43,85713.72,UPI,Delivered,1,Defective item,Arunachal Pradesh,India
ORD100116,21-11-2025,CUST9984,Books,,Science Textbook,1,6484.34,6484.34,Debit Card,Pending,5,Fantastic quality!,Uttar Pradesh,India
ORD100117,20-02-2025,CUST2874,Books,,Biography,4,25376.44,101505.76,Credit Card,Pending,4,Pretty decent,Karnataka,India
ORD100118,01-08-2025,CUST2557,Clothing,,Jacket,3,41405.48,124216.44,Debit Card,Pending,4,Value for money,Madhya Pradesh,India
ORD100119,04-02-2025,CUST2494,Home & Kitchen,,Vacuum Cleaner,2,34403.69,68807.38,UPI,Delivered,4,Pretty decent,Himachal Pradesh,India
ORD100120,15-10-2025,CUST6400,Electronics,,Headphones,2,27907.26,55814.52,UPI,Pending,5,Highly recommend!,Assam,India
ORD100121,23-02-2025,CUST9313,Beauty,,Face Cream,3,30100.42,90301.26,Credit Card,Delivered,3,Fair deal,Gujarat,India
ORD100122,28-02-2025,CUST5564,Clothing,,T-Shirt,3,42299.6,126898.8,Credit Card,Pending,3,Not bad,Odisha,India
ORD100123,15-01-2025,CUST3955,Books,,Comics,5,1507.44,7537.2,Debit Card,Returned,3,Could be better,Tamil Nadu,India
ORD100124,17-10-2025,CUST7566,Home & Kitchen,,Vacuum Cleaner,1,9234.0,9234.0,UPI,Delivered,2,Not satisfied,Karnataka,India
ORD100125,24-06-2025,CUST3578,Electronics,,Tablet,2,18934.48,37868.96,Debit Card,Pending,4,Value for money,Gujarat,India
ORD100126,22-03-2025,CUST1815,Books,,Comics,1,44190.44,44190.44,UPI,Pending,2,Product not as expected,Rajasthan,India
ORD100127,21-04-2025,CUST9394,Beauty,,Shampoo,5,22213.8,111069.0,UPI,Pending,3,Fair deal,Meghalaya,India
ORD100128,24-01-2025,CUST4612,Electronics,,Headphones,5,24434.31,122171.55,Cash on Delivery,Returned,3,Average,Madhya Pradesh,India
ORD100129,11-05-2025,CUST5742,Electronics,,Laptop,3,47277.14,141831.42,Debit Card,Delivered,2,Not satisfied,Rajasthan,India
ORD100130,27-12-2025,CUST4770,Beauty,,Shampoo,2,6633.45,13266.9,Debit Card,Delivered,5,Worth every rupee!,Manipur,India
ORD100131,10-06-2025,CUST8033,Electronics,,Smartwatch,1,23095.76,23095.76,Cash on Delivery,Returned,1,Terrible experience,Chhattisgarh,India
ORD100132,29-03-2025,CUST8538,Home & Kitchen,,Mixer Grinder,4,1238.66,4954.64,Debit Card,Delivered,3,Fair deal,Himachal Pradesh,India
ORD100133,10-02-2025,CUST7484,Electronics,,Laptop,4,29525.79,118103.16,Debit Card,Returned,5,Highly recommend!,Chhattisgarh,India
ORD100134,29-09-2025,CUST9355,Clothing,,Sneakers,2,4003.69,8007.38,Credit Card,Pending,1,Defective item,Haryana,India
ORD100135,30-03-2025,CUST3504,Clothing,,Jeans,1,7492.92,7492.92,UPI,Delivered,2,Product not as expected,Telangana,India
ORD100136,26-11-2025,CUST6295,Beauty,,Hair Dryer,5,22555.48,112777.4,Debit Card,Delivered,5,Worth every rupee!,Nagaland,India
ORD100137,30-10-2025,CUST1920,Electronics,,Smartwatch,4,31642.98,126571.92,Debit Card,Returned,3,Average,Nagaland,India
ORD100138,27-05-2025,CUST2257,Home & Kitchen,,Air Fryer,4,2072.84,8291.36,UPI,Returned,3,Not bad,Himachal Pradesh,India
ORD100139,19-08-2025,CUST4084,Books,,Children's Book,4,29100.4,116401.6,Debit Card,Returned,1,Terrible experience,Telangana,India
ORD100140,13-02-2025,CUST9266,Books,,Science Textbook,1,22636.05,22636.05,Credit Card,Delivered,3,Okay product,Odisha,India
ORD100141,06-07-2025,CUST7108,Beauty,,Shampoo,5,26232.85,131164.25,Debit Card,Pending,2,Product not as expected,Maharashtra,India
ORD100142,03-02-2025,CUST6401,Home & Kitchen,,Water Purifier,1,39503.5,39503.5,UPI,Returned,3,Fair deal,Odisha,India
ORD100143,11-02-2025,CUST3317,Home & Kitchen,,Vacuum Cleaner,5,43689.33,218446.65,Debit Card,Pending,3,Fair deal,Madhya Pradesh,India
ORD100144,26-11-2025,CUST6381,Clothing,,Saree,1,15617.18,15617.18,Credit Card,Returned,4,Would buy again,Kerala,India
ORD100145,08-06-2025,CUST3953,Electronics,,Smartwatch,5,18219.04,91095.2,Credit Card,Pending,3,Fair deal,Haryana,India
ORD100146,21-02-2025,CUST9317,Clothing,,Jeans,2,7916.27,15832.54,UPI,Returned,3,Could be better,Chhattisgarh,India
ORD100147,03-04-2025,CUST3712,Books,,Science Textbook,5,18960.65,94803.25,Cash on Delivery,Delivered,2,Product not as expected,Mizoram,India
ORD100148,30-04-2025,CUST9749,Home & Kitchen,,Cookware Set,4,30607.65,122430.6,Credit Card,Pending,4,Pretty decent,Meghalaya,India
ORD100149,25-05-2025,CUST7256,Clothing,,Sneakers,5,49225.1,246125.5,Cash on Delivery,Delivered,4,Satisfied with the product,Assam,India
ORD100150,10-07-2025,CUST2680,Books,,Science Textbook,3,2798.55,8395.65,UPI,Pending,4,Good quality,Tripura,India
ORD100151,12-08-2025,CUST2502,Clothing,,Sneakers,4,45284.25,181137.0,Credit Card,Pending,2,Disappointed,Arunachal Pradesh,India
ORD100152,01-05-2025,CUST7326,Electronics,,Smartwatch,1,19943.41,19943.41,UPI,Pending,3,Okay product,West Bengal,India
ORD100153,16-03-2025,CUST3254,Electronics,,Headphones,1,41990.98,41990.98,UPI,Pending,3,Fair deal,Bihar,India
ORD100154,10-01-2025,CUST5193,Clothing,,Jacket,4,30844.34,123377.36,Credit Card,Delivered,1,Never buying again,Chhattisgarh,India
ORD100155,02-05-2025,CUST5934,Books,,Comics,4,5737.11,22948.44,UPI,Delivered,3,Okay product,Rajasthan,India
ORD100156,02-11-2025,CUST9782,Beauty,,Hair Dryer,4,3327.8,13311.2,UPI,Returned,4,Would buy again,Goa,India
ORD100157,11-11-2025,CUST6780,Books,,Science Textbook,2,14705.34,29410.68,Credit Card,Returned,1,Terrible experience,Uttar Pradesh,India
ORD100158,27-09-2025,CUST9914,Clothing,,T-Shirt,5,48737.79,243688.95,UPI,Pending,1,Terrible experience,Sikkim,India
ORD100159,02-07-2025,CUST2106,Electronics,,Smartwatch,3,12831.78,38495.34,Debit Card,Delivered,1,Very bad product,Maharashtra,India
ORD100160,23-06-2025,CUST3868,Books,,Biography,2,2407.92,4815.84,Cash on Delivery,Returned,5,Worth every rupee!,Punjab,India
ORD100161,19-01-2025,CUST5807,Clothing,,Jeans,1,35859.04,35859.04,Credit Card,Delivered,4,Satisfied with the product,Assam,India
ORD100162,31-08-2025,CUST5150,Electronics,,Headphones,3,25866.1,77598.3,UPI,Returned,5,Loved it!,Madhya Pradesh,India
ORD100163,20-05-2025,CUST3039,Home & Kitchen,,Vacuum Cleaner,1,43316.75,43316.75,Debit Card,Pending,3,Fair deal,Madhya Pradesh,India
ORD100164,21-12-2025,CUST9151,Beauty,,Shampoo,3,48691.43,146074.29,Debit Card,Returned,4,Value for money,Punjab,India
ORD100165,07-10-2025,CUST5813,Electronics,,Smartwatch,1,21644.24,21644.24,Debit Card,Delivered,2,Not satisfied,Manipur,India
ORD100166,27-03-2025,CUST8272,Home & Kitchen,,Vacuum Cleaner,3,22406.61,67219.83,Debit Card,Pending,4,Good quality,Mizoram,India
ORD100167,08-02-2025,CUST7655,Home & Kitchen,,Water Purifier,4,13872.86,55491.44,Debit Card,Returned,1,Waste of money,Himachal Pradesh,India
ORD100168,18-01-2025,CUST3068,Electronics,,Laptop,5,33968.83,169844.15,UPI,Delivered,4,Value for money,Nagaland,India
ORD100169,14-12-2025,CUST8371,Home & Kitchen,,Air Fryer,5,1812.79,9063.95,Debit Card,Pending,2,Product not as expected,West Bengal,India
ORD100170,10-06-2025,CUST5566,Electronics,,Tablet,2,26567.1,53134.2,Credit Card,Delivered,4,Good quality,Andhra Pradesh,India
ORD100171,02-03-2025,CUST5288,Clothing,,Jacket,5,19471.97,97359.85,Debit Card,Returned,5,Worth every rupee!,Sikkim,India
ORD100172,13-04-2025,CUST3009,Clothing,,Saree,3,34760.24,104280.72,Credit Card,Delivered,4,Pretty decent,Telangana,India
ORD100173,08-12-2025,CUST6692,Clothing,,Jacket,1,40563.56,40563.56,UPI,Returned,3,Not bad,Bihar,India
ORD100174,05-07-2025,CUST9335,Home & Kitchen,,Vacuum Cleaner,2,35648.09,71296.18,Credit Card,Delivered,2,Quality could improve,Sikkim,India
ORD100175,21-10-2025,CUST7044,Clothing,,Jeans,4,1508.94,6035.76,Cash on Delivery,Returned,5,Loved it!,Nagaland,India
ORD100176,27-09-2025,CUST7730,Books,,Fiction Novel,1,15602.68,15602.68,Cash on Delivery,Returned,4,Good quality,Tripura,India
ORD100177,26-06-2025,CUST3102,Clothing,,Sneakers,1,22608.73,22608.73,Credit Card,Delivered,5,Worth every rupee!,Himachal Pradesh,India
ORD100178,26-03-2025,CUST3653,Books,,Fiction Novel,1,26001.49,26001.49,Debit Card,Returned,3,Okay product,Tripura,India
ORD100179,11-04-2025,CUST5496,Home & Kitchen,,Water Purifier,3,42327.5,126982.5,Credit Card,Returned,3,Could be better,Rajasthan,India
ORD100180,31-10-2025,CUST3526,Books,,Comics,1,25228.14,25228.14,Credit Card,Returned,2,Poor packaging,Karnataka,India
ORD100181,11-02-2025,CUST1744,Books,,Biography,5,2251.48,11257.4,Debit Card,Returned,1,Waste of money,Bihar,India
ORD100182,18-11-2025,CUST9938,Books,,Children's Book,5,32021.76,160108.8,Debit Card,Returned,4,Value for money,Jharkhand,India
ORD100183,19-12-2025,CUST1981,Beauty,,Perfume,4,15012.21,60048.84,Credit Card,Pending,1,Terrible experience,Maharashtra,India
ORD100184,10-06-2025,CUST6231,Beauty,,Shampoo,2,17141.59,34283.18,Debit Card,Pending,2,Quality could improve,Goa,India
ORD100185,27-08-2025,CUST3007,Home & Kitchen,,Water Purifier,5,5487.96,27439.8,Debit Card,Pending,2,Quality could improve,Manipur,India
ORD100186,12-11-2025,CUST7850,Clothing,,T-Shirt,1,14652.56,14652.56,Credit Card,Delivered,4,Value for money,Andhra Pradesh,India
ORD100187,21-09-2025,CUST8648,Books,,Biography,2,38203.44,76406.88,Cash on Delivery,Pending,4,Pretty decent,Telangana,India
ORD100188,21-04-2025,CUST6781,Electronics,,Smartphone,4,25371.13,101484.52,UPI,Delivered,2,Disappointed,Telangana,India
ORD100189,25-02-2025,CUST8060,Beauty,,Hair Dryer,4,14430.27,57721.08,Credit Card,Pending,1,Defective item,Himachal Pradesh,India
ORD100190,15-10-2025,CUST4189,Beauty,,Lipstick,1,20148.96,20148.96,Debit Card,Returned,5,Highly recommend!,Mizoram,India
ORD100191,24-05-2025,CUST2946,Electronics,,Smartwatch,5,22627.65,113138.25,Credit Card,Delivered,5,Worth every rupee!,Tripura,India
ORD100192,12-04-2025,CUST9341,Home & Kitchen,,Vacuum Cleaner,5,46959.64,234798.2,Cash on Delivery,Returned,2,Not satisfied,Goa,India
